category,link_name,link_url,description,note
Superset,Order Movement,https://superset.sirclo.net/superset/dashboard/1547/?native_filters_key=bhlh_owCkYlzea00ZMFAC3WVYCPszVKXKPvA4iFXbsAhJ1abeegfobrR6GS2Fzyr,Cek banyak SO,
Superset,Cek TO,https://superset.sirclo.net/superset/dashboard/444/?native_filters_key=9aRBJmKoUqgTdx4KGd5Jrb8u9OgX3MKEItnj0D9bORbjviWZGGMLwoE3qtdJmqYL,Daily DO,
Superset,Cek SRP product,https://superset.sirclo.net/superset/dashboard/368/?native_filters_key=vO5u3U73CqB_80sybsLnWpALCPjDZG660mHfXMr5kUGr6eBcddDSkCPjdCeyK7LW,Cek Harga Jual product Non Consigment,
Looker,Link Looker Studio,https://lookerstudio.google.com/reporting/eaaaab6b-d0ee-42ff-864a-5a91398f736c,INVENTORY CONTROL DASHBOARD,
Looker,Claim Monitoring,https://docs.google.com/spreadsheets/d/1XD_7oGZOtgq2JjVqnUCt6QkAHkwlpo491q24mVbaRe0/edit?pli=1&gid=0#gid=0,Data Klaim WH Partner,"Sheet Data Claim, Update Monthly"
Looker,Adjustment Monitoring,https://docs.google.com/spreadsheets/d/12ZbMmHgOkeR3zaPTrZiDCuJL-y2jmjTnhTdLprEtwMA/edit?gid=1006783108#gid=1006783108,Detail Inventory Adjustment Results,"Sheet Raw Data Adjustment, Update Monthly, Setiap awal bulan ditanggal 4"
Looker,Disposal Monitoring,https://docs.google.com/spreadsheets/d/1Emn1zVjDPCCZ8rDP9zNVlidZAMQYlca4gIOTR0xAObs/edit?pli=1&gid=567553652#gid=567553652,Monitoring Progress Disposal,"Sheet Raw Data, Update Weekly"
Looker,IC Task Productivity,https://script.google.com/a/sirclo.com/macros/s/AKfycbxlcCm909viu7A9OM8GewBOsrWnr9KpEsBSCCU2OzARSLK8sLMyAF0krKAUmjhm24DpGg/exec?page=tasklist,NED System - Task,"Sheet Task List, Update Daily"
Looker,MST Monitoring,https://docs.google.com/spreadsheets/d/1D9YlcOQRinZVZ7CBD4n1jy3xWlEQPZnC-A7CrhgaJFs/edit?gid=0#gid=0,Monitoring Progress MST,"Sheet Monitoring, Update Monthly"
Looker,Inventory Level,https://docs.google.com/spreadsheets/d/1jNVzV18U7FZU_zvDg5JZV8p1o9C8EAH4JPxPFpVJK3w/edit?gid=0#gid=0,Stock Inventory Level,"Sheet Summary Raw Data, Update Monthly, Setiap awal bulan ditanggal 4"
